13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,72,72,12,13,13,13,13,13,13,13,13,13,13,13
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,72,72,12,13,13,13,13,13,13,13,13,13,13,13
13,13,16,25,25,25,25,25,25,25,25,25,25,25,25,17,13,13,16,25,25,25,25,25,43,25,25,25,26,72,72,24,25,25,25,25,25,25,25,25,25,25,17
13,13,14,36,37,37,37,37,37,37,37,37,37,37,38,12,13,13,14,37,37,37,37,37,15,37,37,37,38,72,72,36,37,37,37,37,37,37,37,37,37,37,12
13,13,14,48,49,49,49,49,49,49,49,49,49,49,50,12,13,13,14,49,49,49,49,49,15,49,49,49,50,72,72,48,49,49,49,49,49,49,49,49,49,49,12
13,13,14,72,72,72,72,72,72,72,72,72,72,72,72,12,13,13,14,72,72,72,72,72,15,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,12
13,13,14,72,72,0,1,1,1,2,72,72,72,72,72,12,13,13,14,72,72,72,72,72,15,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,12
13,13,14,72,72,24,25,25,25,26,72,72,72,72,72,12,13,13,14,72,72,72,72,72,15,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,12
13,13,14,72,72,36,37,37,37,38,72,72,72,72,72,12,13,13,14,72,72,72,72,4,7,1,1,1,1,1,1,1,1,1,1,1,2,72,72,72,72,72,12
13,13,14,72,72,48,49,49,49,50,72,72,72,72,72,12,13,13,14,72,72,72,72,36,12,16,25,25,25,25,25,25,25,25,25,17,14,72,72,72,72,72,12
13,13,14,72,72,72,72,72,72,72,72,72,72,72,72,12,13,13,14,72,72,72,72,48,12,14,37,37,37,37,37,37,37,37,37,12,14,72,72,72,72,72,12
13,13,14,72,72,72,72,72,72,4,42,5,5,5,5,53,25,25,26,72,72,72,72,72,12,14,49,49,49,49,49,49,49,49,49,12,14,72,72,72,72,72,12
13,13,28,40,6,72,72,72,72,36,27,37,37,37,37,37,37,37,38,72,72,72,72,72,12,14,72,72,72,72,72,72,72,72,72,12,14,72,72,72,72,72,12
13,13,16,26,38,72,72,72,72,48,39,49,49,49,49,49,49,49,50,72,72,72,72,72,12,14,72,72,72,72,72,72,72,72,72,12,14,72,72,72,72,72,12
13,13,14,38,50,72,72,72,72,72,51,72,72,72,72,72,72,72,72,72,72,72,72,72,12,14,72,72,72,72,72,72,72,72,72,12,28,1,2,72,72,72,12
25,25,26,50,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,12,28,1,1,1,1,1,1,2,72,72,12,16,25,26,72,72,72,12
37,37,38,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,24,25,25,25,25,25,25,25,26,72,72,12,14,37,38,72,72,72,12
49,49,50,72,72,72,72,72,72,72,0,1,1,1,1,2,72,72,72,72,72,72,72,72,36,37,37,37,37,37,37,37,38,72,72,12,14,49,50,72,72,72,12
72,72,72,72,72,72,72,72,72,72,12,13,13,13,13,14,72,72,72,72,72,72,72,72,48,49,49,49,49,49,49,49,50,72,72,24,26,72,72,72,72,72,12
72,72,72,72,72,72,72,72,72,72,24,25,25,25,25,26,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,36,38,72,72,72,72,72,12
1,1,2,72,72,72,72,72,72,72,36,37,37,37,37,38,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,48,50,72,72,72,72,72,12
13,13,14,72,72,72,72,72,72,72,48,49,49,49,49,50,72,72,72,0,1,1,1,1,2,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,12
13,13,14,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,12,13,13,13,13,14,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,12
13,13,14,72,72,72,3,72,72,72,72,72,72,72,72,72,72,72,72,24,25,25,25,25,26,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,12
13,13,14,72,72,0,55,1,1,1,1,1,2,72,72,72,72,72,72,36,37,37,37,37,38,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,12
13,13,14,72,72,24,17,13,13,13,13,13,14,72,72,72,72,72,72,48,49,49,49,49,50,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,12
13,13,14,72,72,36,12,13,13,13,13,13,28,1,2,72,72,72,72,72,72,72,72,72,72,72,72,0,2,72,72,72,72,72,72,72,72,72,72,72,72,72,12
13,13,14,72,72,48,12,13,13,13,13,13,13,16,26,72,72,72,72,72,72,72,72,72,72,72,72,12,28,2,72,72,72,72,72,72,72,72,72,72,72,72,12
13,13,14,72,72,72,24,25,25,17,16,25,25,26,38,72,72,72,72,72,72,72,72,72,72,72,72,12,13,28,1,1,2,72,72,0,1,1,1,1,1,1,29
13,13,14,72,72,72,36,37,37,12,14,37,37,38,50,72,72,72,72,72,72,72,72,72,72,72,0,29,13,16,25,25,26,72,72,24,25,25,25,25,17,13,13
13,13,14,72,72,72,48,49,49,24,26,49,49,50,72,72,72,72,72,72,72,72,72,72,72,72,24,17,13,14,37,37,38,72,72,36,37,37,37,37,12,13,13
13,13,14,72,72,72,72,72,72,36,38,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,36,12,13,14,49,49,50,72,72,48,49,49,49,49,12,13,13
13,13,14,72,72,72,72,72,72,48,50,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,48,12,13,14,72,72,72,72,72,72,72,72,72,72,12,13,13
13,13,28,1,1,2,72,72,72,72,72,72,72,72,0,2,72,72,72,72,72,72,72,72,72,72,72,12,13,14,72,72,72,72,72,72,72,72,72,72,12,13,13
13,13,13,13,13,14,72,72,72,72,72,72,72,72,12,14,72,72,72,72,72,72,72,72,72,72,72,12,13,14,72,72,72,72,72,72,72,72,72,72,12,13,13
13,13,13,13,13,28,1,1,1,1,1,1,1,1,29,28,1,2,72,72,72,72,72,72,72,72,72,12,13,14,72,72,72,72,72,72,72,72,72,72,12,13,13
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,28,2,72,72,72,72,72,72,72,72,12,13,28,1,1,1,1,1,1,1,1,1,1,29,13,13
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,28,1,1,1,1,1,1,1,1,29,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
