10,10,10,10,10,10,10,10,10,10,10,10,11,-1,-1,-1,9,10,10,10,10,10,10,10,10,10,10,10,10,10
10,10,10,10,10,10,13,19,19,19,19,19,20,-1,-1,-1,18,19,19,19,19,19,19,14,10,10,10,10,10,10
10,10,10,10,13,19,20,27,27,27,27,27,28,-1,-1,-1,26,27,27,27,27,27,27,18,19,14,10,10,10,10
10,10,13,19,20,27,28,35,35,35,35,35,36,-1,-1,-1,34,35,35,35,35,35,35,26,27,18,14,10,10,10
10,13,20,27,28,35,36,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,34,35,26,18,14,10,10
10,11,28,35,36,-1,-1,-1,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,34,26,18,14,10
13,20,36,-1,-1,-1,-1,-1,18,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,-1,-1,34,26,9,10
11,28,-1,-1,-1,-1,-1,-1,26,28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18,20,-1,-1,-1,34,9,10
11,36,-1,-1,-1,-1,-1,-1,34,36,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,26,28,-1,-1,-1,-1,18,14
11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,34,36,-1,-1,-1,-1,26,9
11,-1,-1,-1,-1,-1,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,34,9
22,2,-1,-1,-1,-1,18,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,-1,-1,-1,-1,9
10,11,-1,-1,-1,-1,26,28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18,20,-1,-1,-1,0,23
10,22,2,-1,-1,-1,34,36,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,26,28,-1,-1,-1,9,10
10,10,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,34,36,-1,-1,0,23,10
10,10,22,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,23,10,10
10,10,10,22,1,1,2,-1,-1,-1,0,1,1,2,-1,-1,-1,0,1,1,1,1,1,1,1,1,23,10,10,10
10,10,10,10,10,10,22,1,1,1,23,10,10,11,-1,-1,-1,9,10,10,10,10,10,10,10,10,10,10,10,10
10,10,10,10,10,10,10,10,10,10,10,10,10,11,-1,-1,-1,9,10,10,10,10,10,10,10,10,10,10,10,10
